,Name,Hometown,Fare,Pclass,GDP_Per_Capita
29,"Blank, Mr. Henry","Glen Ridge, New Jersey, US",31.0,1,4964
30,"Brady, Mr. John Bertram","Pomeroy, Washington, US",30.5,1,4964
31,"Brandeis, Mr. Emil","Omaha, Nebraska, US",50.4958,1,4964
32,"Brewe, Dr. Arthur Jackson","Philadelphia, Pennsylvania, US",39.6,1,4964
33,"Cardeza, Mr. Thomas Drake Martinez","Germantown, Pennsylvania, US",512.3292,1,4964
34,"Carter, Mr. William Ernest","Bryn Mawr, Pennsylvania, US",120.0,1,4964
35,"Chaffee, Mr. Herbert Fuller","Amenia, North Dakota, US",61.175,1,4964
36,"Clark, Mr. Walter Miller","Los Angeles, California, US",136.7792,1,4964
37,"Clifford, Mr. George Quincy","Stoughton, Massachusetts, US",52.0,1,4964
38,"Crafton, Mr. John Bertram","Roachdale, Indiana, US",26.55,1,4964
39,"Daniel, Mr. Robert Williams","Philadelphia, Pennsylvania, US",30.5,1,4964
40,"Dodge, Dr. Washington","San Francisco, California, US",81.8583,1,4964
41,"Douglas, Mr. Walter Donald","Minneapolis, Minnesota, US",106.425,1,4964
42,"Dulles, Mr. William Crothers","Philadelphia, Pennsylvania, US",29.7,1,4964
43,"Futrelle, Mr. Jacques Heath","Scituate, Massachusetts, US",53.1,1,4964
44,"Hilliard, Mr. Herbert Henry","Brighton, Massachusetts, US",51.8625,1,4964
45,"Jones, Mr. Charles Cresson","Bennington, Vermont, US",26.0,1,4964
46,"Kent, Mr. Edward Austin","Buffalo, New York, US",29.7,1,4964
47,"Klaber, Mr. Herman","Portland, Oregon, US",26.55,1,4964
48,"Long, Mr. Milton Clyde","Springfield, Massachusetts, US",30.0,1,4964
49,"Maguire, Mr. John Edward","Brockton, Massachusetts, US",26.0,1,4964
50,"McGough, Mr. James Robert","Philadelphia, Pennsylvania, US",26.2875,1,4964
51,"Millet, Mr. Francis Davis","East Bridgewater, Massachusetts, US",26.55,1,4964
52,"Minahan, Dr. William Edward","Fond du Lac, Wisconsin, US",90.0,1,4964
53,"Newell, Mr. Arthur Webster","Lexington, Massachusetts, US",113.275,1,4964
54,"Ostby, Mr. Engelhart Cornelius","Providence, Rhode Island, US",61.9792,1,4964
55,"Porter, Mr. Walter Chamberlain","Worcester, Massachusetts, US",52.0,1,4964
56,"Roebling, Mr. Washington Augustus II","Trenton, New Jersey, US",50.4958,1,4964
57,"Rood, Mr. Hugh Roscoe","Seattle, Washington, US",50.0,1,4964
58,"Ryerson, Mr. Arthur Larned","Cooperstown, New York, US",262.375,1,4964
59,"Silverthorne, Mr. Spencer Victor","St Louis, Missouri, US",26.2875,1,4964
60,"Silvey, Mr. William Baird","Duluth, Minnesota, US",55.9,1,4964
61,"Sloper, Mr. William Thompson","New Britain, Connecticut, US",35.5,1,4964
62,"Smith, Mr. Lucien Philip","Huntington, West Virginia, US",60.0,1,4964
63,"Snyder, Mr. John Pillsbury","Minneapolis, Minnesota, US",82.2667,1,4964
64,"Spedden, Mr. Frederic Oakley","Tuxedo Park, New York, US",134.5,1,4964
65,"Stengel, Mr. Charles Emil Henry","Newark, New Jersey, US",55.4417,1,4964
66,"Sutton, Mr. Frederick","Haddonfield, New Jersey, US",32.3208,1,4964
67,"Walker, Mr. William Anderson","East Orange, New Jersey, US",34.0208,1,4964
68,"Warren, Mr. Frank Manley","Portland, Oregon, US",75.25,1,4964
69,"White, Mr. Percival Wayland","Brunswick, Maine, US",77.2875,1,4964
70,"White, Mr. Richard Frasar","Brunswick, Maine, US",77.2875,1,4964
71,"Widener, Mr. George Dunton","Philadelphia, Pennsylvania, US",211.5,1,4964
72,"Widener, Mr. Harry Elkins","Philadelphia, Pennsylvania, US",211.5,1,4964
73,"Ashby, Mr. John","West Hoboken, New Jersey, US",13.0,2,4964
74,"Botsford, Mr. William Hull","Orange, New Jersey, US",13.0,2,4964
75,"Chapman, Mr. Charles Henry","Bronx, New York, US",13.5,2,4964
76,"Drew, Mr. James Vivian","Greenport, New York, US",32.5,2,4964
77,"Fox, Mr. Stanley Hubert","Rochester, New York, US",13.0,2,4964
78,"Greenberg, Mr. Samuel","Bronx, New York, US",13.0,2,4964
79,"Hale, Mr. Reginald","Auburn, New York, US",13.0,2,4964
80,"Hocking, Mr. Richard George","Akron, Ohio, US",11.5,2,4964
81,"Hunt, Mr. George Henry","Philadelphia, Pennsylvania, US",12.275,2,4964
82,"Lingane, Mr. John","Chelsea, Michigan, US",12.35,2,4964
83,"Moraweck, Dr. Ernest","Frankfort, Kentucky, US",14.0,2,4964
84,"Otter, Mr. Richard","Middleburg Heights, Ohio, US",13.0,2,4964
85,"Portaluppi, Mr. Emilio Ilario Giuseppe","Milford, New Hampshire, US",12.7375,2,4964
86,"Renouf, Mr. Peter Henry","Elizabeth, New Jersey, US",21.0,2,4964
87,"Schmidt, Mr. August","Newark, New Jersey, US",13.0,2,4964
88,"Veal, Mr. James","Barre, Vermont, US",13.0,2,4964
89,"Hosono, Mr. Masabumi","Tokyo, Japan",13.0,2,1304
90,"Kantor, Mr. Sinai","Vitebsk, Russian Empire",26.0,2,1348
91,"Bryhl, Mr. Kurt Arnold Gottfrid","Skara, Västergötland, Sweden",26.0,2,2543
92,"Kvillner, Mr. Johan Henrik Johannesson","Trollhättan, Västergötland, Sweden",10.5,2,2543
93,"Colley, Mr. Edward Pomeroy","Dublin, Ireland, UK[note 1]",25.5875,1,4611
94,"Gillespie, Mr. William Henry","Abbeyleix, Laois, Ireland[note 1]",13.0,2,4611
95,"Keane, Mr. Daniel","Limerick, Ireland[note 1]",12.35,2,4611
96,"Lamb, Mr. John Joseph","Glencree, Ireland[note 1]",10.7083,2,4611
97,"Myles, Mr. Thomas Francis","Fermoy, Ireland[note 1]",9.6875,2,4611
98,"McNamee, Mr. Neal","Convoy, Donegal, Ireland",16.1,3,4611
99,"McCrae, Mr. Arthur Gordon","Sydney, New South Wales, Australia",13.5,2,5210
100,"Pallas y Castello, Mr. Emilio","Barcelona, Catalonia, Spain",13.8583,2,1895
101,"Barkworth, Mr. Algernon Henry Wilson","Hessle, East Yorkshire, England, UK",30.0,1,4611
102,"Borebank, Mr. John James","London, England, UK",26.55,1,4611
103,"Case, Mr. Howard Brown","Ascot, Berkshire, England, UK",26.0,1,4611
104,"Cavendish, Mr. Tyrell William","London, England, UK",78.85,1,4611
105,"Frauenthal, Dr. Henry William","London, England, UK",133.65,1,4611
106,"Frauenthal, Mr. Isaac Gerald","London, England, UK",27.7208,1,4611
107,"Hawksford, Mr. Walter James","Kingston, Surrey, England, UK",30.0,1,4611
108,"Head, Mr. Christopher","Chelsea, London, England, UK",42.5,1,4611
109,"Hipkins, Mr. William Edward","Birmingham, West Midlands, England, UK",50.0,1,4611
110,"Ismay, Mr. Joseph Bruce","Liverpool, Merseyside, England, UK",0.0,1,4611
111,"Julian, Mr. Henry Forbes","Torquay, Devon, England, UK",26.0,1,4611
112,"Loring, Mr. Joseph Holland","London, England, UK",45.5,1,4611
113,"Nicholson, Mr. Arthur Ernest","Shanklin, Isle of Wight, England, UK",26.0,1,4611
114,"Pears, Mr. Thomas Clinton","Isleworth, London, England, UK",66.6,1,4611
115,"Saalfeld, Mr. Adolphe","Manchester, England, UK",30.5,1,4611
116,"Smart, Mr. John Montgomery","Kildale, North Yorkshire, England, UK",26.55,1,4611
117,"Smith, Mr. Richard William","Streatham, London, England, UK",26.0,1,4611
118,"Stead, Mr. William Thomas","London, England, UK",26.55,1,4611
119,"Taylor, Mr. Elmer Zebley","London, England, UK",52.0,1,4611
120,"Woolner, Mr. Hugh","London, England, UK",35.5,1,4611
121,"Andrew, Mr. Frank Thomas","Redruth, Cornwall, England",10.5,2,4611
122,"Bailey, Mr. Percy Andrew","Penzance, Cornwall, England",11.5,2,4611
123,"Banfield, Mr. Frederick James","Plymouth, Devon, England",10.5,2,4611
124,"Beauchamp, Mr. Henry James","London, England, UK",26.0,2,4611
125,"Beesley, Mr. Lawrence","London, England, UK",13.0,2,4611
126,"Berriman, Mr. William John","St. Ives, Cornwall, England",13.0,2,4611
127,"Bowenur, Mr. Solomon","London, England",13.0,2,4611
128,"Butler, Mr. Reginald Fenton","Southsea, Hampshire, England",13.0,2,4611
129,"Carbines, Mr. William","St. Ives, Cornwall, England",13.0,2,4611
130,"Chapman, Mr. John Henry","Liskeard, Cornwall, England",26.0,2,4611
131,"Clarke, Mr. Charles Valentine","Netley Abbey, Hampshire, England",26.0,2,4611
132,"Coleridge, Mr. Reginald Charles","London, England",10.5,2,4611
133,"Collyer, Mr. Harvey","Bishopstoke, Hampshire, England",26.25,2,4611
134,"Davies, Mr. Charles Henry","Lyndhurst, Hampshire, England",73.5,2,4611
135,"Deacon, Mr. Percy William","Fritham, Hampshire, England, UK",73.5,2,4611
136,"Dibden, Mr. William","Lyndhurst, Hampshire, England",73.5,2,4611
137,"Fillbrook, Mr. Joseph Charles","Truro, Cornwall, England, UK",10.5,2,4611
138,"Gale, Mr. Harry","Harrowbarrow, Cornwall, England, UK",21.0,2,4611
139,"Gale, Mr. Shadrach","Harrowbarrow, Cornwall, England, UK",21.0,2,4611
140,"Gilbert, Mr. William","Carleens, Cornwall, England",10.5,2,4611
141,"Giles, Mr. Edgar","Porthleven, Cornwall, England",11.5,2,4611
142,"Giles, Mr. Frederick Edward","Porthleven, Cornwall, England",11.5,2,4611
143,"Giles, Mr. Ralph","London, England",13.5,2,4611
144,"Gill, Mr. John William","Clevedon, North Somerset, England",13.0,2,4611
145,"Harris, Mr. George","London, England",10.5,2,4611
146,"Harris, Mr. Walter","London, England",10.5,2,4611
147,"Hart, Mr. Benjamin","Ilford, Essex, England",26.25,2,4611
148,"Herman, Mr. Samuel","Yeovil, Somerset, England",65.0,2,4611
149,"Hickman, Mr. Lewis","Fritham, Hampshire, England",73.5,2,4611
150,"Hickman, Mr. Leonard Mark","Fritham, Hampshire, England",73.5,2,4611
151,"Hickman, Mr. Stanley George","Fritham, Hampshire, England",73.5,2,4611
152,"Hocking, Mr. Samuel James Metcalfe","Devonport, Devon, England",13.0,2,4611
153,"Hodges, Mr. Henry Price","Southampton, Hampshire, England",13.0,2,4611
154,"Hold, Mr. Stephen","Porthoustock, Cornwall, England",26.0,2,4611
155,"Howard, Mr. Benjamin","Swindon, Wiltshire, England",26.0,2,4611
156,"Jacobsohn, Mr. Sidney Samuel","London, England",27.0,2,4611
157,"Jenkin, Mr. Stephen Curnow","St. Ives, Cornwall, England",10.5,2,4611
158,"Leyson, Mr. Robert William Norman","London, England",10.5,2,4611
159,"Louch, Mr. Charles Alexander","Weston-super-Mare, North Somerset, England",26.0,2,4611
160,"Matthews, Mr. William John","St Austell, Cornwall, England",13.0,2,4611
161,"Maybery, Mr. Frank Hubert","Weston-super-Mare, North Somerset, England",16.0,2,4611
162,"Mellors, Mr. William John","Chelsea, London, England",10.5,2,4611
163,"Meyer, Mr. August","Harrow, London, England",13.0,2,4611
164,"Mudd, Mr. Thomas Charles","Huntingfield, Suffolk, England",10.5,2,4611
165,"Nesson, Mr. Israel","London, England",13.0,2,4611
166,"Oxenham, Mr. Percy Thomas","London, England",10.5,2,4611
167,"Pengelly, Mr. Frederick William","Gunnislake, Cornwall, England",10.5,2,4611
168,"Phillips, Mr. Escott Robert","Ilfracombe, Devon, England",21.0,2,4611
169,"Ponesell, Mr. Martin","Southampton, Hampshire, England",13.0,2,4611
170,"Reeves, Mr. David","Slinfold, West Sussex, England",10.5,2,4611
171,"Rogers, Mr. Reginald Harry","Tavistock, Devon, England",10.5,2,4611
172,"Sedgwick, Mr. Charles Frederick Waddington","Liverpool, Merseyside, England",13.0,2,4611
173,"Slemen, Mr. Richard James","Landrake, Cornwall, England",10.5,2,4611
174,"Sobey, Mr. Samuel James Hayden","Porthallow, Cornwall, England",13.0,2,4611
175,"Stokes, Mr. Philip Joseph","London, England",10.5,2,4611
176,"Sweet, Mr. George Frederick","Yeovil, Somerset, England",65.0,2,4611
177,"Troupiansky, Mr. Moses Aaron","London, England",13.0,2,4611
178,"Turpin, Mr. William John Robert","Plymouth, Devon, England",21.0,2,4611
179,"Ware, Mr. John James","Bristol, Avon, England",21.0,2,4611
180,"Ware, Mr. William Jeffery","Gunnislake, Cornwall, England",10.5,2,4611
181,"Weisz, Mr. Leopold","Bromsgrove, Worcestershire, England",26.0,2,4611
182,"West, Mr. Edwy Arthur","Bournemouth, Dorset, England",27.75,2,4611
183,"Williams, Mr. Charles Eugene","Harrow, London, England",13.0,2,4611
184,"Adahl, Mr. Mauritz Nils Martin","Asarum, Småland",7.25,3,2543
185,"Andreasson, Mr. Paul Edvin","Kalfsnäs, Småland",7.8542,3,2543
186,"Aronsson, Mr. Ernst Axel Algot","Horset, Småland",7.775,3,2543
187,"Asplund, Mr. Carl Oscar Vilhelm Gustafsson","Alseda, Småland",31.3875,3,2543
188,"Augustsson, Mr. Albert","Krakoryd, Småland",7.8542,3,2543
189,"Carlsson, Mr. August Sigfrid","Dagsås, Halland",7.7958,3,2543
190,"Eklund, Mr. Hans Linus","Kårberg, Örebro",7.775,3,2543
191,"Fischer, Mr. Eberhard Thelander","Björkeberga, Skåne",7.7958,3,2543
192,"Hagland, Mr. Ingvald Olai Olsen","Skåre, Haugesund",19.9667,3,2543
193,"Hagland, Mr. Konrad Mathias Reiersen","Skåre, Haugesund",19.9667,3,2543
194,"Johansson, Mr. Erik","Frostensmåla, Småland",7.7958,3,2543
195,"Johansson, Mr. Gustaf Joel","Bäckebo, Småland",8.6542,3,2543
196,"Johansson Palmquist, Mr. Oskar Leander","Kvarnaryd, Småland",7.775,3,2543
197,"Jonsson, Mr. Carl","Kalfsnäs, Småland",7.8542,3,2543
198,"Lindell, Mr. Edvard Bengtsson","Helsingborg, Skåne",15.55,3,2543
199,"Lundahl, Mr. Johan Svensson","Fyrnan, Småland",7.0542,3,2543
200,"Nilsson, Mr. August Ferdinand","Hörby, Skåne",7.8542,3,2543
201,"Svensson, Mr. Johan","Reftele, Småland",7.775,3,2543
202,"Svensson, Mr. Olof","Björkeberga, Skåne",7.7958,3,2543
203,"Vendel, Mr. Olof Edvin","Östra Sallerup, Skåne",7.8542,3,2543
204,"Nysveen, Mr. Johan Hansen",Øyer,6.2375,3,2543
